AAPL
MSFT
TSM
INTC
CSCO
ORCL
SAP
ADBE
CRM
NVDA
ACN
ASML
AVGO
TXN
IBM
QCOM
FIS
INTU
MU
VMW
AMAT
AMD
NOW
ADI
LRCX
INFY
ADSK
WDAY
NXPI
CTSH
TEL
APH
HPQ
CAJ
ERIC
MSI
KLAC
MCHP
FLT
SPLK
STM
VRSN
GLW
PANW
GIB
ANSS
SNPS
WDC
SWKS
CDNS
FTNT
GRMN
MRVL
CHKP
STX
SSNC
AKAM
NTAP
BR
IT
LDOS
ZBRA
TDY
EPAM
OTEX
TYL
UI
TER
FICO
JKHY
ASX
